season_id,round,week,home_team_abbr,away_team_abbr
2803056,23,0,LEI,NEW
2803056,23,0,EVE,MRE
2803056,24,0,MRE,WAT
2803056,24,0,CRY,WHA
2803056,24,0,BOU,LON
2803056,24,0,CHE,WVL
2803056,24,0,LVR,LEI
2803056,24,0,SOU,EVE
2803056,24,0,NEW,BUR
2803056,24,0,TOT,MBL
2803056,25,0,BUR,LVR
2803056,25,0,MBL,NEW
2803056,25,0,WVL,BOU
2803056,25,0,WAT,SOU
2803056,25,0,EVE,CRY
2803056,25,0,LEI,CHE
2803056,25,0,LON,MRE
2803056,25,0,WHA,TOT
2803056,26,0,NEW,WHA
2803056,26,0,TOT,EVE
2803056,26,0,LVR,MBL
2803056,26,0,CHE,BOU
2803056,26,0,SOU,LON
2803056,26,0,MRE,WVL
2803056,26,0,LEI,BUR
2803056,26,0,CRY,WAT
2803056,27,0,MBL,LEI
2803056,27,0,BOU,MRE
2803056,27,0,WVL,SOU
2803056,27,0,EVE,NEW
2803056,27,0,WHA,LVR
2803056,27,0,WAT,TOT
2803056,27,0,BUR,CHE
2803056,27,0,LON,CRY
2803056,28,0,LEI,WHA
2803056,28,0,CRY,WVL
2803056,28,0,NEW,WAT
2803056,28,0,CHE,MRE
2803056,28,0,BUR,MBL
2803056,28,0,TOT,LON
2803056,28,0,SOU,BOU
2803056,28,0,LVR,EVE
2803056,29,0,LON,NEW
2803056,29,0,BOU,CRY
2803056,29,0,EVE,LEI
2803056,29,0,MBL,CHE
2803056,29,0,MRE,SOU
2803056,29,0,WVL,TOT
2803056,29,0,WHA,BUR
2803056,29,0,WAT,LVR
2803056,30,0,CRY,MRE
2803056,30,0,BUR,EVE
2803056,30,0,TOT,BOU
2803056,30,0,LVR,LON
2803056,30,0,LEI,WAT
2803056,30,0,MBL,WHA
2803056,30,0,CHE,SOU
2803056,30,0,NEW,WVL
